name,chr,start,end,PrL.prob,geneName,location
prL4865,chr13,72628553.0,72629552.0,0.9784,Irx2,downstream
prL4866,chr14,24003779.0,24004778.0,0.9784,CT025624.1,upstream
prL4867,chr15,39197455.0,39198454.0,0.9784,Rims2,overlapTSS
prL4868,chr15,100227570.0,100228569.0,0.9784,Atf1,overlapTSS
prL4869,chr16,4939001.0,4940000.0,0.9784,AC167018.1,overlapTSS
prL4870,chr16,37011915.0,37012914.0,0.9784,Polq,genic
prL4871,chr19,28963511.0,28964510.0,0.9784,4430402I18Rik,genic
prL4872,chr2,26021481.0,26022480.0,0.9784,Ubac1,overlapTSS
prL4873,chr4,116627396.0,116628395.0,0.9784,Nasp,overlapTSS
prL4874,chr4,123104758.0,123105757.0,0.9784,Bmp8b,overlapTSS
prL4875,chr7,133122318.0,133123317.0,0.9784,Fgfr2,genic
prL4876,chr7,139943102.0,139944101.0,0.9784,Utf1,overlapTSS
prL4877,chr8,12915001.0,12916000.0,0.9784,Mcf2l,genic
prL4878,chr8,110997101.0,110998100.0,0.9784,Ddx19a,overlapTSS
prL4879,chr9,40455416.0,40456415.0,0.9784,Gramd1b,genic
prL4880,chr9,120576884.0,120577883.0,0.9784,5830454E08Rik,overlapTSS
prL4881,chr10,61452253.0,61453252.0,0.9783,Eif4ebp2,overlapTSS
prL4882,chr14,45220326.0,45221325.0,0.9783,Txndc16,overlapTSS
prL4883,chr15,66577439.0,66578438.0,0.9783,Phf20l1,overlapTSS
prL4884,chr3,54734079.0,54735078.0,0.9783,Exosc8,genic
prL4885,chr4,41348968.0,41349967.0,0.9783,Ubap1,overlapTSS
prL4886,chr4,98726310.0,98727309.0,0.9783,L1td1,overlapTSS
prL4887,chr4,137048086.0,137049085.0,0.9783,Zbtb40,overlapTSS
prL4888,chr7,19577652.0,19578651.0,0.9783,Zfp296,genic
prL4889,chr8,70768102.0,70769101.0,0.9783,Pik3r2,genic
prL4890,chr8,105637101.0,105638100.0,0.9783,Ctcf,genic
prL4891,chr9,95749582.0,95750581.0,0.9783,Trpc1,overlapTSS
prL4892,chr9,119101883.0,119102882.0,0.9783,Dlec1,overlapTSS
prL4893,chrX,58029824.0,58030823.0,0.9783,Zic3,genic
prL4894,chr1,152901871.0,152902870.0,0.9782,Smg7,overlapTSS
prL4895,chr15,86185571.0,86186570.0,0.9782,Cerk,overlapTSS
prL4896,chr15,99294570.0,99295569.0,0.9782,Prpf40b,overlapTSS
prL4897,chr16,45843888.0,45844887.0,0.9782,Phldb2,overlapTSS
prL4898,chr2,5011955.0,5012954.0,0.9782,Mcm10,overlapTSS
prL4899,chr4,94602310.0,94603309.0,0.9782,Plaa,overlapTSS
prL4900,chr4,155563892.0,155564891.0,0.9782,Nadk,genic
prL4901,chr4,155759892.0,155760891.0,0.9782,Atad3a,genic
prL4902,chr5,104459982.0,104460981.0,0.9782,Pkd2,genic
prL4903,chr6,112696007.0,112697006.0,0.9782,Rad18,overlapTSS
prL4904,chr6,114968983.0,114969982.0,0.9782,Vgll4,overlapTSS
prL4905,chr7,6155399.0,6156398.0,0.9782,Zfp787,overlapTSS
prL4906,chr7,16047652.0,16048651.0,0.9782,Zfp541,intergenic
prL4907,chr7,44590631.0,44591630.0,0.9782,Kcnc3,overlapTSS
prL4908,chr7,81523115.0,81524114.0,0.9782,AC167122.2,upstream
prL4909,chr7,97579491.0,97580490.0,0.9782,1810020D17Rik,overlapTSS
prL4910,chr8,121117101.0,121118100.0,0.9782,Galnt2,genic
prL4911,chr9,50774896.0,50775895.0,0.9782,Alg9,overlapTSS
prL4912,chr9,63602194.0,63603193.0,0.9782,Iqch,overlapTSS
prL4913,chr10,4386539.0,4387538.0,0.9781,Zbtb2,genic
prL4914,chr11,4095998.0,4096997.0,0.9781,Sec14l2,downstream
prL4915,chr12,51348014.0,51349013.0,0.9781,G2e3,overlapTSS
prL4916,chr12,81631014.0,81632013.0,0.9781,Ttc9,overlapTSS
prL4917,chr13,23762132.0,23763131.0,0.9781,Hist1h3a,overlapTSS
prL4918,chr13,48261632.0,48262631.0,0.9781,AC154314.1,overlapTSS
prL4919,chr14,21075779.0,21076778.0,0.9781,Adk,genic
prL4920,chr15,76870571.0,76871570.0,0.9781,Zfp251,overlapTSS
prL4921,chr16,30065915.0,30066914.0,0.9781,Hes1,genic
prL4922,chr16,84734756.0,84735755.0,0.9781,Mrpl39,overlapTSS
prL4923,chr19,4756001.0,4757000.0,0.9781,Rbm4b,overlapTSS
prL4924,chr2,26140481.0,26141480.0,0.9781,RP23-325E4.5,overlapTSS
prL4925,chr2,134643265.0,134644264.0,0.9781,Tmx4,overlapTSS
prL4926,chr3,96268078.0,96269077.0,0.9781,Hist2h3b,overlapTSS
prL4927,chr5,24841183.0,24842182.0,0.9781,Rheb,genic
prL4928,chr5,148928425.0,148929424.0,0.9781,Katnal1,overlapTSS
prL4929,chr7,28692982.0,28693981.0,0.9781,Fbxo27,genic
prL4930,chr8,11634001.0,11635000.0,0.9781,Ankrd10,genic
prL4931,chr8,71366102.0,71367101.0,0.9781,Use1,overlapTSS
prL4932,chr9,22156557.0,22157556.0,0.9781,Pigyl,overlapTSS
prL4933,chr9,44233918.0,44234917.0,0.9781,Cbl,overlapTSS
prL4934,chr9,110304497.0,110305496.0,0.9781,2610002I17Rik,overlapTSS
prL4935,chr11,71018499.0,71019498.0,0.978,Derl2,overlapTSS
prL4936,chr13,12105734.0,12106733.0,0.978,Ryr2,genic
prL4937,chr14,99297782.0,99298781.0,0.978,Klf5,overlapTSS
prL4938,chr15,85831571.0,85832570.0,0.978,Ttc38,overlapTSS
prL4939,chr17,65771661.0,65772660.0,0.978,Rab31,genic
prL4940,chr18,66458347.0,66459346.0,0.978,Pmaip1,overlapTSS
prL4941,chr19,40831511.0,40832510.0,0.978,Ccnj,genic
prL4942,chr2,91710844.0,91711843.0,0.978,Harbi1,overlapTSS
prL4943,chr2,120567265.0,120568264.0,0.978,Snap23,overlapTSS
prL4944,chr5,123140992.0,123141991.0,0.978,AC158114.3,overlapTSS
prL4945,chr8,54076647.0,54077646.0,0.978,Vegfc,overlapTSS
prL4946,chr8,95332101.0,95333100.0,0.978,AA960436,overlapTSS
prL4947,chr9,57130194.0,57131193.0,0.978,RP23-340E1.4,genic
prL4948,chr9,85748394.0,85749393.0,0.978,Ibtk,upstream
prL4949,chr10,127511945.0,127512944.0,0.9779,Ndufa4l2,upstream
prL4950,chr15,59373446.0,59374445.0,0.9779,E430025E21Rik,overlapTSS
prL4951,chr15,99369570.0,99370569.0,0.9779,Fmnl3,overlapTSS
prL4952,chr18,12862492.0,12863491.0,0.9779,Osbpl1a,overlapTSS
prL4953,chr18,37643347.0,37644346.0,0.9779,Taf7,overlapTSS
prL4954,chr2,138256265.0,138257264.0,0.9779,Btbd3,overlapTSS
prL4955,chr4,63557967.0,63558966.0,0.9779,6330416G13Rik,overlapTSS
prL4956,chr4,137468086.0,137469085.0,0.9779,Hspg2,overlapTSS
prL4957,chr5,114130992.0,114131991.0,0.9779,Ung,genic
prL4958,chr7,80324115.0,80325114.0,0.9779,Rccd1,overlapTSS
prL4959,chr7,99858491.0,99859490.0,0.9779,Spcs2,overlapTSS
prL4960,chr7,140116102.0,140117101.0,0.9779,Echs1,overlapTSS
prL4961,chr9,106891670.0,106892669.0,0.9779,Armet,overlapTSS
prL4962,chr1,74587427.0,74588426.0,0.9778,Zfp142,overlapTSS
prL4963,chr1,127868424.0,127869423.0,0.9778,Rab3gap1,overlapTSS
prL4964,chr10,128820945.0,128821944.0,0.9778,Ormdl2,overlapTSS
prL4965,chr11,3534998.0,3535997.0,0.9778,Smtn,genic
prL4966,chr11,101441687.0,101442686.0,0.9778,Rpl27,overlapTSS
prL4967,chr11,117076687.0,117077686.0,0.9778,RP23-41E14.4,overlapTSS
prL4968,chr12,54795014.0,54796013.0,0.9778,Snx6,overlapTSS
prL4969,chr15,94403570.0,94404569.0,0.9778,Adamts20,overlapTSS
prL4970,chr16,17927908.0,17928907.0,0.9778,Slc25a1,overlapTSS
prL4971,chr16,21204928.0,21205927.0,0.9778,Ephb3,genic
prL4972,chr17,48409676.0,48410675.0,0.9778,Nfya,overlapTSS
prL4973,chr19,5803001.0,5804000.0,0.9778,Scyl1,intergenic
prL4974,chr19,45015511.0,45016510.0,0.9778,Lzts2,genic
prL4975,chr3,135438037.0,135439036.0,0.9778,Ube2d3,overlapTSS
prL4976,chr4,117095396.0,117096395.0,0.9778,Ptch2,overlapTSS
prL4977,chr5,23675183.0,23676182.0,0.9778,5S_rRNA,upstream
prL4978,chr7,15945652.0,15946651.0,0.9778,Gltscr2,overlapTSS
prL4979,chr7,30955982.0,30956981.0,0.9778,Usf2,overlapTSS
prL4980,chr7,45457631.0,45458630.0,0.9778,Ftl1,genic
prL4981,chr8,4678001.0,4679000.0,0.9778,Gm7461,upstream
prL4982,chr8,124722101.0,124723100.0,0.9778,Arv1,overlapTSS
prL4983,chr9,21961557.0,21962556.0,0.9778,Epor,genic
prL4984,chr1,128103424.0,128104423.0,0.9777,R3hdm1,genic
prL4985,chr10,81495256.0,81496255.0,0.9777,Ncln,genic
prL4986,chr10,120978945.0,120979944.0,0.9777,Lemd3,overlapTSS
prL4987,chr11,58903499.0,58904498.0,0.9777,Zfp39,overlapTSS
prL4988,chr11,76398499.0,76399498.0,0.9777,Nxn,overlapTSS
prL4989,chr12,3235001.0,3236000.0,0.9777,AC159283.1,overlapTSS
prL4990,chr12,16999195.0,17000194.0,0.9777,Pqlc3,overlapTSS
prL4991,chr12,112692790.0,112693789.0,0.9777,Zbtb42,intergenic
prL4992,chr13,101768046.0,101769045.0,0.9777,Pik3r1,overlapTSS
prL4993,chr16,18497908.0,18498907.0,0.9777,Gnb1l,overlapTSS
prL4994,chr16,84773756.0,84774755.0,0.9777,Jam2,overlapTSS
prL4995,chr18,32067347.0,32068346.0,0.9777,Iws1,overlapTSS
prL4996,chr2,91930844.0,91931843.0,0.9777,Mdk,overlapTSS
prL4997,chr2,164497501.0,164498500.0,0.9777,Pigt,overlapTSS
prL4998,chr3,139074037.0,139075036.0,0.9777,Rap1gds1,genic
prL4999,chr5,37245762.0,37246761.0,0.9777,Crmp1,genic
prL5000,chr5,134099131.0,134100130.0,0.9777,AC157587.1,overlapTSS
prL5001,chr8,22060529.0,22061528.0,0.9777,Alg11,overlapTSS
prL5002,chr8,72443102.0,72444101.0,0.9777,Calr3,overlapTSS
prL5003,chr9,66059194.0,66060193.0,0.9777,Ppib,upstream
prL5004,chr1,34459156.0,34460155.0,0.9776,Ptpn18,overlapTSS
prL5005,chr11,103016687.0,103017686.0,0.9776,Dcakd,overlapTSS
prL5006,chr13,38634132.0,38635131.0,0.9776,Muted,overlapTSS
prL5007,chr13,94883046.0,94884045.0,0.9776,Otp,genic
prL5008,chr13,97484046.0,97485045.0,0.9776,AC124581.1,intergenic
prL5009,chr13,111489793.0,111490792.0,0.9776,Gpbp1,overlapTSS
prL5010,chr14,60784164.0,60785163.0,0.9776,RP23-333J1.2,overlapTSS
prL5011,chr15,10485246.0,10486245.0,0.9776,Brix1,overlapTSS
prL5012,chr16,90219756.0,90220755.0,0.9776,Sod1,upstream
prL5013,chr17,3115001.0,3116000.0,0.9776,Rbm16,genic
prL5014,chr17,35836056.0,35837055.0,0.9776,Tubb5,genic
prL5015,chr17,56613578.0,56614577.0,0.9776,Rpl36,genic
prL5016,chr18,7868003.0,7869002.0,0.9776,Gm9993,genic
prL5017,chr19,46689511.0,46690510.0,0.9776,2010012O05Rik,overlapTSS
prL5018,chr2,30358481.0,30359480.0,0.9776,Sh3glb2,overlapTSS
prL5019,chr4,116720396.0,116721395.0,0.9776,RP23-109A3.1,genic
prL5020,chr4,152026892.0,152027891.0,0.9776,Zbtb48,overlapTSS
prL5021,chr5,136986131.0,136987130.0,0.9776,Znhit1,genic
prL5022,chr5,139460047.0,139461046.0,0.9776,3110082I17Rik,overlapTSS
prL5023,chr7,38182982.0,38183981.0,0.9776,1600014C10Rik,overlapTSS
prL5024,chr7,109959487.0,109960486.0,0.9776,Dennd5a,overlapTSS
prL5025,chr7,141902096.0,141903095.0,0.9776,Tollip,overlapTSS
prL5026,chr8,70139102.0,70140101.0,0.9776,Rfxank,overlapTSS
prL5027,chr8,84257102.0,84258101.0,0.9776,Mri1,overlapTSS
prL5028,chr8,94386101.0,94387100.0,0.9776,AC128663.2,overlapTSS
prL5029,chr8,123948101.0,123949100.0,0.9776,Galnt2,genic
prL5030,chr9,51764896.0,51765895.0,0.9776,Arhgap20,overlapTSS
prL5031,chr9,107634670.0,107635669.0,0.9776,Gnai2,overlapTSS
prL5032,chrX,52911824.0,52912823.0,0.9776,Phf6,overlapTSS
prL5033,chr10,80399256.0,80400255.0,0.9775,Mbd3,overlapTSS
prL5034,chr11,119267687.0,119268686.0,0.9775,Gaa,overlapTSS
prL5035,chr12,4592195.0,4593194.0,0.9775,Itsn2,overlapTSS
prL5036,chr13,73763553.0,73764552.0,0.9775,Slc12a7,genic
prL5037,chr17,8283136.0,8284135.0,0.9775,Brp44l,genic
prL5038,chr17,71551661.0,71552660.0,0.9775,Mettl4-ps1,genic
prL5039,chr18,14782492.0,14783491.0,0.9775,Psma8,intergenic
prL5040,chr2,92370844.0,92371843.0,0.9775,Gyltl1b,overlapTSS
prL5041,chr2,157279265.0,157280264.0,0.9775,4922505G16Rik,overlapTSS
prL5042,chr3,93447079.0,93448078.0,0.9775,Tchh,genic
prL5043,chr4,21726854.0,21727853.0,0.9775,Ccnc,overlapTSS
prL5044,chr5,115118992.0,115119991.0,0.9775,Acads,overlapTSS
prL5045,chr6,113604007.0,113605006.0,0.9775,6720456B07Rik,overlapTSS
prL5046,chr7,81829115.0,81830114.0,0.9775,Btbd1,overlapTSS
prL5047,chr7,130518487.0,130519486.0,0.9775,Fgfr2,genic
prL5048,chr8,13786001.0,13787000.0,0.9775,Upf3a,genic
prL5049,chrX,13485875.0,13486874.0,0.9775,Nyx,genic
prL5050,chr1,172562870.0,172563869.0,0.9774,Vsig8,genic
prL5051,chr10,128524945.0,128525944.0,0.9774,Esyt1,overlapTSS
prL5052,chr12,76403014.0,76404013.0,0.9774,Hspa2,upstream
prL5053,chr14,16365487.0,16366486.0,0.9774,Top2b,genic
prL5054,chr17,25985056.0,25986055.0,0.9774,Solh,overlapTSS
prL5055,chr17,33781056.0,33782055.0,0.9774,Angptl4,overlapTSS
prL5056,chr19,46356511.0,46357510.0,0.9774,Tmem180,genic
prL5057,chr2,26916481.0,26917480.0,0.9774,Surf1,overlapTSS
prL5058,chr2,132879265.0,132880264.0,0.9774,Lrrn4,genic
prL5059,chr3,19311001.0,19312000.0,0.9774,Pde7a,overlapTSS
prL5060,chr4,117494396.0,117495395.0,0.9774,Rnf220,genic
prL5061,chr5,115193992.0,115194991.0,0.9774,Cabp1,overlapTSS
prL5062,chr7,98193491.0,98194490.0,0.9774,B3gnt6,genic
prL5063,chr9,20887557.0,20888556.0,0.9774,Ppan,overlapTSS
prL5064,chr9,110624497.0,110625496.0,0.9774,Nbeal2,genic
prL5065,chr11,95258687.0,95259686.0,0.9773,Tac4,upstream
prL5066,chr11,106159687.0,106160686.0,0.9773,Limd2,overlapTSS
prL5067,chr12,113013790.0,113014789.0,0.9773,Pacs2,overlapTSS
prL5068,chr2,5941955.0,5942954.0,0.9773,Dhtkd1,overlapTSS
prL5069,chr4,45826129.0,45827128.0,0.9773,Igfbpl1,overlapTSS
prL5070,chr5,143464133.0,143465132.0,0.9773,Daglb,overlapTSS
prL5071,chr6,56832007.0,56833006.0,0.9773,Fkbp9,overlapTSS
prL5072,chr6,87981007.0,87982006.0,0.9773,H1fx,overlapTSS
prL5073,chr6,92943007.0,92944006.0,0.9773,Adamts9,overlapTSS
prL5074,chr6,115036983.0,115037982.0,0.9773,1500001M20Rik,overlapTSS
prL5075,chr8,11555001.0,11556000.0,0.9773,Ing1,upstream
prL5076,chr8,70896102.0,70897101.0,0.9773,Rpl18a,genic
prL5077,chr8,73352102.0,73353101.0,0.9773,Large,genic
prL5078,chr1,60180157.0,60181156.0,0.9772,Nbeal1,upstream
prL5079,chr1,186749122.0,186750121.0,0.9772,Rrp15,overlapTSS
prL5080,chr10,117709945.0,117710944.0,0.9772,Mdm2,overlapTSS
prL5081,chr11,22982001.0,22983000.0,0.9772,Commd1,overlapTSS
prL5082,chr11,68385499.0,68386498.0,0.9772,Ntn1,genic
prL5083,chr11,84525499.0,84526498.0,0.9772,RP23-381C21.2,overlapTSS
prL5084,chr11,101301687.0,101302686.0,0.9772,Becn1,overlapTSS
prL5085,chr11,120348687.0,120349686.0,0.9772,0610009L18Rik,genic
prL5086,chr14,7817487.0,7818486.0,0.9772,Flnb,overlapTSS
prL5087,chr16,8636908.0,8637907.0,0.9772,Tmem186,overlapTSS
prL5088,chr16,87495756.0,87496755.0,0.9772,Cct8,overlapTSS
prL5089,chr17,25016056.0,25017055.0,0.9772,Ift140,overlapTSS
prL5090,chr19,7416511.0,7417510.0,0.9772,2700081O15Rik,upstream
prL5091,chr2,181592296.0,181593295.0,0.9772,Znf512b,overlapTSS
prL5092,chr4,40969968.0,40970967.0,0.9772,Nfx1,overlapTSS
prL5093,chr4,107178396.0,107179395.0,0.9772,2210012G02Rik,overlapTSS
prL5094,chr5,64159762.0,64160761.0,0.9772,Tbc1d1,genic
prL5095,chr5,134639131.0,134640130.0,0.9772,Eif4h,overlapTSS
prL5096,chr5,150118426.0,150119425.0,0.9772,Rxfp2,intergenic
prL5097,chr6,117905983.0,117906982.0,0.9772,Hnrnpf,overlapTSS
prL5098,chr7,111121487.0,111122486.0,0.9772,AC150312.2,genic
prL5099,chr8,35375947.0,35376946.0,0.9772,Ppp1r3b,genic
prL5100,chr8,70087102.0,70088101.0,0.9772,Hapln4,genic
prL5101,chr8,71569102.0,71570101.0,0.9772,Slc27a1,genic
prL5102,chr1,3670920.0,3671919.0,0.9771,Xkr4,overlapTSS
prL5103,chr11,3408998.0,3409997.0,0.9771,Limk2,overlapTSS
prL5104,chr12,110849791.0,110850790.0,0.9771,Zfp839,overlapTSS
prL5105,chr15,86058571.0,86059570.0,0.9771,Gramd4,genic
prL5106,chr17,75551661.0,75552660.0,0.9771,Fam98a,overlapTSS
prL5107,chr2,38286481.0,38287480.0,0.9771,Dennd1a,overlapTSS
prL5108,chr2,39003481.0,39004480.0,0.9771,Wdr38,genic
prL5109,chr2,131160265.0,131161264.0,0.9771,RP23-32L15.5,genic
prL5110,chr2,155826265.0,155827264.0,0.9771,Eif6,overlapTSS
prL5111,chr2,164832501.0,164833500.0,0.9771,Neurl2,overlapTSS
prL5112,chr4,62207967.0,62208966.0,0.9771,Zfp37,overlapTSS
prL5113,chr4,118437396.0,118438395.0,0.9771,Cdc20,upstream
prL5114,chr4,119319396.0,119320395.0,0.9771,Ppih,genic
prL5115,chr5,31251628.0,31252627.0,0.9771,Krtcap3,overlapTSS
prL5116,chr5,74534976.0,74535975.0,0.9771,Fip1l1,overlapTSS
prL5117,chr5,147429425.0,147430424.0,0.9771,Pan3,upstream
prL5118,chr6,51470002.0,51471001.0,0.9771,Cbx3,overlapTSS
prL5119,chr7,24398982.0,24399981.0,0.9771,1500002O20Rik,overlapTSS
prL5120,chr7,80232115.0,80233114.0,0.9771,Cib1,overlapTSS
prL5121,chr7,139248102.0,139249101.0,0.9771,Pwwp2b,overlapTSS
prL5122,chr8,124949101.0,124950100.0,0.9771,Egln1,upstream
prL5123,chr9,44416918.0,44417917.0,0.9771,Ccdc84,genic
prL5124,chr1,75141427.0,75142426.0,0.977,1810031K17Rik,genic
prL5125,chr10,5805539.0,5806538.0,0.977,Fbxo5,overlapTSS
prL5126,chr10,72654253.0,72655252.0,0.977,Zwint,overlapTSS
prL5127,chr10,85184256.0,85185255.0,0.977,Cry1,overlapTSS
prL5128,chr12,12939195.0,12940194.0,0.977,Mycn,genic
prL5129,chr12,72536014.0,72537013.0,0.977,1810048J11Rik,overlapTSS
prL5130,chr12,102877791.0,102878790.0,0.977,Btbd7,overlapTSS
prL5131,chr17,25832056.0,25833055.0,0.977,Stub1,overlapTSS
prL5132,chr17,47010052.0,47011051.0,0.977,Ubr2,overlapTSS
prL5133,chr2,34913481.0,34914480.0,0.977,Phf19,overlapTSS
prL5134,chr3,69317079.0,69318078.0,0.977,Ppm1l,genic
prL5135,chr5,112275981.0,112276980.0,0.977,Tpst2,overlapTSS
prL5136,chr6,148830479.0,148831478.0,0.977,Ipo8,overlapTSS
prL5137,chr7,28435982.0,28436981.0,0.977,Gmfg,upstream
prL5138,chr7,63937115.0,63938114.0,0.977,Klf13,genic
prL5139,chr8,95888101.0,95889100.0,0.977,Got2,overlapTSS
prL5140,chr1,74332427.0,74333426.0,0.9769,Pnkd,genic
prL5141,chr11,3264998.0,3265997.0,0.9769,Drg1,genic
prL5142,chr11,4703998.0,4704997.0,0.9769,Uqcr10,overlapTSS
prL5143,chr11,61854499.0,61855498.0,0.9769,Ulk2,overlapTSS
prL5144,chr11,120784687.0,120785686.0,0.9769,Gps1,genic
prL5145,chr15,27630246.0,27631245.0,0.9769,Fam105b,overlapTSS
prL5146,chr15,38519246.0,38520245.0,0.9769,Azin1,overlapTSS
prL5147,chr18,56431347.0,56432346.0,0.9769,Gramd3,genic
prL5148,chr2,130696265.0,130697264.0,0.9769,Slc4a11,genic
prL5149,chr2,157367265.0,157368264.0,0.9769,Manbal,overlapTSS
prL5150,chr2,172370501.0,172371500.0,0.9769,Aurka,overlapTSS
prL5151,chr5,129715126.0,129716125.0,0.9769,Mrps17,overlapTSS
prL5152,chr6,54039007.0,54040006.0,0.9769,Chn2,overlapTSS
prL5153,chr7,19572652.0,19573651.0,0.9769,Gemin7,genic
prL5154,chr8,61549204.0,61550203.0,0.9769,Palld,genic
prL5155,chr8,119574101.0,119575100.0,0.9769,Hsdl1,genic
prL5156,chr8,123041101.0,123042100.0,0.9769,Galnt2,genic
prL5157,chrX,98937662.0,98938661.0,0.9769,Yipf6,genic
prL5158,chr1,160211870.0,160212869.0,0.9768,Cacybp,overlapTSS
prL5159,chr1,182019870.0,182020869.0,0.9768,Enah,upstream
prL5160,chr10,44529195.0,44530194.0,0.9768,U6,intergenic
prL5161,chr10,111506945.0,111507944.0,0.9768,Phlda1,genic
prL5162,chr13,55622640.0,55623639.0,0.9768,AC126408.2,overlapTSS
prL5163,chr13,73846553.0,73847552.0,0.9768,Nkd2,genic
prL5164,chr14,52279326.0,52280325.0,0.9768,Rab2b,overlapTSS
prL5165,chr17,27133056.0,27134055.0,0.9768,2900010M23Rik,overlapTSS
prL5166,chr17,79895661.0,79896660.0,0.9768,Atl2,overlapTSS
prL5167,chr18,65580347.0,65581346.0,0.9768,Zfp532,genic
prL5168,chr19,25610511.0,25611510.0,0.9768,Dmrt3,overlapTSS
prL5169,chr2,131233265.0,131234264.0,0.9768,Mavs,overlapTSS
prL5170,chr3,108444083.0,108445082.0,0.9768,Sars,genic
prL5171,chr4,141148086.0,141149085.0,0.9768,Fbxo42,genic
prL5172,chr6,29216001.0,29217000.0,0.9768,Impdh1,overlapTSS
prL5173,chr7,5079399.0,5080398.0,0.9768,U2af2,genic
prL5174,chr7,28596982.0,28597981.0,0.9768,Pak4,genic
prL5175,chr8,13869001.0,13870000.0,0.9768,Zfp828,overlapTSS
prL5176,chr9,64960194.0,64961193.0,0.9768,2010321M09Rik,overlapTSS
prL5177,chr10,62791253.0,62792252.0,0.9767,Ccar1,genic
prL5178,chr11,100396687.0,100397686.0,0.9767,Jup,genic
prL5179,chr13,104816921.0,104817920.0,0.9767,Sdccag10,overlapTSS
prL5180,chr14,20392779.0,20393778.0,0.9767,Mrps16,overlapTSS
prL5181,chr14,46387326.0,46388325.0,0.9767,Bmp4,genic
prL5182,chr16,55894888.0,55895887.0,0.9767,Cep97,downstream
prL5183,chr18,12128492.0,12129491.0,0.9767,Riok3,overlapTSS
prL5184,chr18,35702347.0,35703346.0,0.9767,Dnajc18,overlapTSS
prL5185,chr19,3767001.0,3768000.0,0.9767,Suv420h1,overlapTSS
prL5186,chr19,23134511.0,23135510.0,0.9767,AC121973.1,overlapTSS
prL5187,chr6,30401001.0,30402000.0,0.9767,Klhdc10,overlapTSS
prL5188,chr6,124745983.0,124746982.0,0.9767,Atn1,genic
prL5189,chr7,13036652.0,13037651.0,0.9767,Ube2m,genic
prL5190,chr7,80688115.0,80689114.0,0.9767,Crtc3,overlapTSS
prL5191,chr8,122281101.0,122282100.0,0.9767,Galnt2,genic
prL5192,chr9,102834671.0,102835670.0,0.9767,Ryk,overlapTSS
prL5193,chr11,69921499.0,69922498.0,0.9766,Eif5a,overlapTSS
prL5194,chr13,28952132.0,28953131.0,0.9766,Sox4,genic
prL5195,chr14,34547815.0,34548814.0,0.9766,Ldb3,genic
prL5196,chr15,38078246.0,38079245.0,0.9766,SNORA2,intergenic
prL5197,chr17,45506052.0,45507051.0,0.9766,Aars2,overlapTSS
prL5198,chr17,78735661.0,78736660.0,0.9766,Strn,overlapTSS
prL5199,chr18,64339347.0,64340346.0,0.9766,Onecut2,upstream
prL5200,chr19,5106001.0,5107000.0,0.9766,Rab1b,genic
prL5201,chr2,25395481.0,25396480.0,0.9766,Entpd2,overlapTSS
prL5202,chr2,130839265.0,130840264.0,0.9766,4930402H24Rik,overlapTSS
prL5203,chr3,108186083.0,108187082.0,0.9766,Amigo1,overlapTSS
prL5204,chr4,133212086.0,133213085.0,0.9766,Gpr3,overlapTSS
prL5205,chr5,23434183.0,23435182.0,0.9766,Mll5,overlapTSS
prL5206,chr5,115010992.0,115011991.0,0.9766,Sppl3,overlapTSS
prL5207,chr5,122706992.0,122707991.0,0.9766,P2rx4,overlapTSS
prL5208,chr7,28807982.0,28808981.0,0.9766,Hnrnpl,upstream
prL5209,chr7,55841631.0,55842630.0,0.9766,Cyfip1,overlapTSS
prL5210,chr7,141413102.0,141414101.0,0.9766,Pddc1,overlapTSS
prL5211,chr8,87473102.0,87474101.0,0.9766,AC125279.1,genic
prL5212,chr8,95853101.0,95854100.0,0.9766,Slc38a7,overlapTSS
prL5213,chr8,124231101.0,124232100.0,0.9766,Galnt2,genic
prL5214,chr9,21072557.0,21073556.0,0.9766,Zglp1,overlapTSS
prL5215,chr11,97361687.0,97362686.0,0.9765,Socs7,overlapTSS
prL5216,chr13,48545632.0,48546631.0,0.9765,mmu-let-7a-1,upstream
prL5217,chr14,57826164.0,57827163.0,0.9765,Mrp63,genic
prL5218,chr15,74955571.0,74956570.0,0.9765,Ly6e,overlapTSS
prL5219,chr16,17529908.0,17530907.0,0.9765,Thap7,genic
prL5220,chr17,46032052.0,46033051.0,0.9765,Vegfa,overlapTSS
prL5221,chr2,181601296.0,181602295.0,0.9765,Prpf6,genic
prL5222,chr4,153956892.0,153957891.0,0.9765,BC049688,genic
prL5223,chr5,138160773.0,138161772.0,0.9765,Cops6,overlapTSS
prL5224,chr6,82774007.0,82775006.0,0.9765,Hk2,overlapTSS
prL5225,chr6,134829983.0,134830982.0,0.9765,Crebl2,overlapTSS
prL5226,chr8,46740647.0,46741646.0,0.9765,Irf2,genic
prL5227,chr10,88459256.0,88460255.0,0.9764,Chpt1,genic
prL5228,chr10,128922945.0,128923944.0,0.9764,Bloc1s1,overlapTSS
prL5229,chr11,94991687.0,94992686.0,0.9764,Ppp1r9b,genic
prL5230,chr12,29938136.0,29939135.0,0.9764,Pxdn,genic
prL5231,chr12,108305791.0,108306790.0,0.9764,Hhipl1,genic
prL5232,chr14,14120487.0,14121486.0,0.9764,Psmd6,overlapTSS
prL5233,chr14,66296164.0,66297163.0,0.9764,RP23-404O10.2,overlapTSS
prL5234,chr14,100284782.0,100285781.0,0.9764,RP24-501J23.1,intergenic
